,NAME,sum_risk,num_rest,avg_risk
0,60639.0,4176,3421,1.2206957030108156
1,60637.0,1690,1274,1.3265306122448979
2,60622.0,5769,4918,1.173037820252135
3,60616.0,4285,3656,1.1720459518599562
4,60654.0,4990,4424,1.1279385171790235
5,60611.0,7142,6071,1.176412452643716
6,60642.0,2300,1916,1.2004175365344467
7,60631.0,1224,1049,1.1668255481410867
8,60606.0,3684,3070,1.2
9,60614.0,7552,6423,1.1757745601743734
10,60618.0,5236,4640,1.1284482758620689
11,60649.0,1535,1176,1.3052721088435375
12,60601.0,3979,3282,1.212370505789153
13,60625.0,4768,4189,1.138219145380759
14,60633.0,277,237,1.1687763713080168
15,60638.0,2583,2094,1.2335243553008597
16,60666.0,3313,2559,1.2946463462289957
17,60603.0,2161,1861,1.1612036539494894
18,60629.0,2760,2339,1.1799914493373236
19,60626.0,2673,2270,1.1775330396475772
20,60617.0,2668,2088,1.2777777777777777
21,60634.0,3279,2837,1.1557983785689108
22,60659.0,3361,3076,1.0926527958387515
23,60604.0,1521,1199,1.2685571309424521
24,60602.0,1605,1343,1.1950856291883842
25,60607.0,5630,4871,1.1558201601313898
26,60609.0,2887,2399,1.2034180908711962
27,60605.0,3209,2690,1.1929368029739778
28,60661.0,2896,2461,1.176757415684681
29,60647.0,6503,5638,1.1534231997162114
30,60610.0,3860,3345,1.1539611360239164
31,60644.0,1512,1148,1.3170731707317074
32,60621.0,1021,677,1.5081240768094535
33,60623.0,2897,2492,1.1625200642054574
34,60632.0,3670,3102,1.1831076724693745
35,60640.0,4776,4256,1.1221804511278195
36,60827.0,35,21,1.6666666666666667
37,60630.0,2214,1889,1.1720487030174696
38,60612.0,2088,1668,1.2517985611510791
39,60608.0,4218,3599,1.1719922200611281
40,60619.0,2848,2098,1.357483317445186
41,60657.0,6750,5976,1.1295180722891567
42,60641.0,3084,2667,1.156355455568054
43,60652.0,1485,1194,1.243718592964824
44,60613.0,4308,3628,1.187431091510474
45,60660.0,2833,2401,1.1799250312369847
46,60620.0,2851,2060,1.383980582524272
47,60653.0,1254,983,1.2756866734486267
48,60656.0,622,568,1.0950704225352113
49,60615.0,2097,1674,1.2526881720430108
50,60628.0,2354,1674,1.4062126642771804
51,60707.0,941,789,1.1926489226869454
52,60636.0,1551,1099,1.4112829845313921
53,60651.0,1779,1278,1.392018779342723
54,60646.0,1121,1025,1.093658536585366
55,60624.0,1272,889,1.4308211473565804
56,60643.0,2141,1676,1.2774463007159904
57,60655.0,681,562,1.2117437722419928
58,60645.0,941,825,1.1406060606060606
59,,47,32,1.46875
